Every experience on Airhotels is unique.Highlight what makes your experience welcoming so that it stands out to travellers who want as the local companion.,Every experience on Airhotels is unique.Highlight what makes your experience welcoming so that it stands out to travellers who want as the local companion.,,
Accommodate(s),Accommodate(s),,
Min,Min,,
Max,Max,,
save and continue,save and continue,,
Basic,Basic,,
Photos,Photos,,
"EXAMPLE: ""Shanghai historic pub tour"" (No more than 60 characters)","EXAMPLE: ""Shanghai historic pub tour"" (No more than 60 characters)",,
Search Your Location,Search Your Location,,
"Example: 123 Hipster Avenue, Brooklyn, NY 11249.","Example: 123 Hipster Avenue, Brooklyn, NY 11249.",,
"EXAMPLE: ""Our Shanghai pub tour is a gentle 4 km amble through some of Shanghai is old streets, enjoying fine views, quirky history and a couple of drinks along the way...&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stopping at least 5 unique Shanghai pubs to quench our thirst, the small group provides a personal touch and the local feel...""","EXAMPLE: ""Our Shanghai pub tour is a gentle 4 km amble through some of Shanghai is old streets, enjoying fine views, quirky history and a couple of drinks along the way...&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stopping at least 5 unique Shanghai pubs to quench our thirst, the small group provides a personal touch and the local feel...""",,
The listing has been deleted successfully.,The listing has been deleted successfully.,,
Album Cover,Album Cover,,
Please select base image for your product,Please select base image for your product,,
Browse to find or Drag image here.,Browse to find or Drag image here.,,
Please upload image,Please upload image,,
Upload the Image with minimum 1400px width,Upload the Image with minimum 1400px width,,
exceeds limit of 2 MB,exceeds limit of 2 MB,,
is not allowed <br>,is not allowed <br>,,
Experience Name,Experience Name,,
The name should be clear and descriptive,The name should be clear and descriptive,,
Tax Class,Tax Class,,
Pricing,Pricing,,
Select Date,Select Date,,
Please enter a valid number,Please enter a valid number,,
base,base,,
Save,Save,,
Yet no reviews available.,Yet no reviews available.,,
Items,Items,,
to,to,,
total,total,,
Item(s),Item(s),,
Page,Page,,
Previous,Previous,,
You're currently reading page,You're currently reading page,,
Prev,Prev,,
Next,Next,,
Show,Show,,
per page,per page,,
My Account,My Account,,
Sign Out,Sign Out,,
Add a Listing,Add a Listing,,
Dashboard,Dashboard,,
My Trips,My Trips,,
Toggle Nav,Toggle Nav,,
Per Night(s),Per Night(s),,
Subtotal,Subtotal,,
Gift Message for this Order,Gift Message for this Order,,
From:,From:,,
To:,To:,,
Message:,Message:,,
Check In,Check In,,
Gift Message,Gift Message,,
Write Your Own Review,Write Your Own Review,,
Required Fields,Required Fields,,
You're reviewing:,You're reviewing:,,
Your Rating,Your Rating,,
Nickname,Nickname,,
Review,Review,,
Submit Review,Submit Review,,
Only registered users can write reviews. Please create an account,Only registered users can write reviews. Please create an account,,
or,or,,
New Customers,New Customers,,
Create an Account,Create an Account,,
Register in the website to book or host a listing.,Register in the website to book or host a listing.,,
Name,Name,,
middlename,middlename,,
lastname,lastname,,
suffix,suffix,,
prefix,prefix,,
Personal Information,Personal Information,,
Sign Up for Newsletter,Sign Up for Newsletter,,
Address Information,Address Information,,
Company,Company,,
Street Address,Street Address,,
Address,Address,,
State/Province,State/Province,,
"Please select a region, state or province.","Please select a region, state or province.",,
Zip/Postal Code,Zip/Postal Code,,
Email,Email,,
Password,Password,,
No Password,No Password,,
Password Strength,Password Strength,,
Confirm Password,Confirm Password,,
Back,Back,,
General Subscription,General Subscription,,
Registered Customers,Registered Customers,,
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address.",,
Forgot Your Password?,Forgot Your Password?,,
Please enter your email below and we will send you the confirmation link,Please enter your email below and we will send you the confirmation link,,
Send confirmation link,Send confirmation link,,
Back to Sign In,Back to Sign In,,
Contact Information,Contact Information,,
Fax,Fax,,
VAT Number,VAT Number,,
It's a default billing address.,It's a default billing address.,,
Save Address,Save Address,,
Default Addresses,Default Addresses,,
Default Billing Address,Default Billing Address,,
Change Billing Address,Change Billing Address,,
You have no default billing address in your address book.,You have no default billing address in your address book.,,
Change Shipping Address,Change Shipping Address,,
Default Shipping Address,Default Shipping Address,,
You have no default shipping address in your address book.,You have no default shipping address in your address book.,,
Additional Address Entries,Additional Address Entries,,
Edit Address,Edit Address,,
Delete Address,Delete Address,,
You have no other address entries in your address book,You have no other address entries in your address book,,
Add New Address,Add New Address,,
Your booking number is,Your booking number is,,
Your booking # is,Your booking # is,,
We'll email you the booking confirmation details.,We'll email you the booking confirmation details.,,
Continue Booking,Continue Booking,,
Verify Your ID,Verify Your ID,,
Getting your Verified ID is the easiest way to help build trust in the Airhotels community. We'll verify you by matching information from an online account to an official ID.,Getting your Verified ID is the easiest way to help build trust in the Airhotels community. We'll verify you by matching information from an online account to an official ID.,,
"Or, you can choose to only add the verifications you want below.","Or, you can choose to only add the verifications you want below.",,
Verify Me,Verify Me,,
Your Current Verifications,Your Current Verifications,,
Email Address,Email Address,,
You have confirmed your email:,You have confirmed your email:,,
A confirmed email is important to allow us to securely communicate with you.,A confirmed email is important to allow us to securely communicate with you.,,
Quick Links,Quick Links,,
Upcoming Trips,Upcoming Trips,,
Newsletter Subscription,Newsletter Subscription,,
Address Book,Address Book,,
View Profile,View Profile,,
Verified Info,Verified Info,,
Email ID,Email ID,,
Date Of Birth,Date Of Birth,,
Government ID,Government ID,,
"Hey,I&#39;m","Hey,I&#39;m",,
&#46,&#46,&#46, Joined in
"Hello, Im Natasha. Originally I am from Moscow, but for last 7 years I live in Budapest with my husband and 2 children. I am photographer and guide a small family photo studio here. I love ancient stuff, in my flat you can enjoy the design of turn-of-the-century Budapest through old decoration elements you can find here. Welcome .","Hello, Im Natasha. Originally I am from Moscow, but for last 7 years I live in Budapest with my husband and 2 children. I am photographer and guide a small family photo studio here. I love ancient stuff, in my flat you can enjoy the design of turn-of-the-century Budapest through old decoration elements you can find here. Welcome .",,
"Hey,I&#39;m","Hey,I&#39;m",,
&#46,&#46,&#46, Joined in
Review For:,Review For:,,
Account verification required,Account verification required,,
"Verification is a process that build a trust . We belive endors trust , so we verify your IDs to ensure a safety of our growing community.","Verification is a process that build a trust . We belive endors trust , so we verify your IDs to ensure a safety of our growing community.",,
Goverment Id,Goverment Id,,
Upload the picture of your official ID such as Passport or Identy card.,Upload the picture of your official ID such as Passport or Identy card.,,
Id verification,Id verification,,
Id File,Id File,,
Passport,Passport,,
Identity Card,Identity Card,,
Driving License,Driving License,,
"Allowed Extensions : jpg, jpeg &amp; png","Allowed Extensions : jpg, jpeg &amp; png",,
Upload ID,Upload ID,,
Start On,Start On,,
End On,End On,,
Receipt,Receipt,,
View Booking,View Booking,,
Are you sure want to cancel booking,Are you sure want to cancel booking,,
Cancel booking,Cancel booking,,
Cancel Request Rejected,Cancel Request Rejected,,
Cancel Request Accepted,Cancel Request Accepted,,
Cancel Request Sent,Cancel Request Sent,,
You have no upcoming trips,You have no upcoming trips,,
Current Trips,Current Trips,,
Previous Trips,Previous Trips,,
You have no previous trips,You have no previous trips,,
You have no current trips,You have no current trips,,
Inbox,Inbox,,
Sent Items,Sent Items,,
No mail sent,No mail sent,,
Not paid,Not paid,,
Booking Id,Booking Id,,
Transaction History,Transaction History,,
Acknowledge,Acknowledge,,
Acknowledgement Sent,Acknowledgement Sent,,
Manage Listings,Manage Listings,,
Booking History,Booking History,,
Berlin,Berlin,,
Search when I move the map,Search when I move the map,,
Room Type,Room Type,,
Categories,Categories,,
Price,Price,,
Where do you want to eat ?,Where do you want to eat ?,,
"e.g. Berlin, Los Angeles","e.g. Berlin, Los Angeles",,
Show Filters,Show Filters,,
Property type,Property type,,
More,More,,
Hide,Hide,,
Amenities,Amenities,,
Hide Filters,Hide Filters,,
Post new listing,Post new listing,,
Click To Preview,Click To Preview,,
Click to Active,Click to Active,,
HIDDEN,HIDDEN,,
ACTIVE,ACTIVE,,
Schedule,Schedule,,
Edit,Edit,,
Delete,Delete,,
Your property will not display in front end until images uploaded by you,Your property will not display in front end until images uploaded by you,,
Awaiting for admins approval,Awaiting for admins approval,,
No Records Found,No Records Found,,
"Invalid dates, Please kindly check it.","Invalid dates, Please kindly check it.",,
Where,Where,,
When,When,,
1 Guest,1 Guest,,
Listings,Listings,,
See All,See All,,
Booking Number,Booking Number,,
Start on,Start on,,
End on,End on,,
Booking Status,Booking Status,,
Cancellation Request Sent,Cancellation Request Sent,,
Closed,Closed,,
You have no booking,You have no booking,,
Availability,Availability,,
Special Price,Special Price,,
Booked,Booked,,
Not Available,Not Available,,
Available,Available,,
Price (per day),Price (per day),,
Please select the Dates which are not booked.,Please select the Dates which are not booked.,,
Please select a different To Date.,Please select a different To Date.,,
Please Enter price field,Please Enter price field,,
Past,Past,,
January,January,,
February,February,,
March,March,,
April,April,,
May,May,,
June,June,,
July,July,,
August,August,,
September,September,,
October,October,,
November,November,,
December,December,,
See Photos,See Photos,,
Similar Listings,Similar Listings,,
Booking,Booking,,
Rooms,Rooms,,
Booking Type:,Booking Type:,,
Privacy:,Privacy:,,
Bed type:,Bed type:,,
Rooms:,Rooms:,,
City :,City :,,
Country :,Country :,,
Prices,Prices,,
Per Night,Per Night,,
House Rules,House Rules,,
Cancellations,Cancellations,,
Day(s),Day(s),,
Maximum property day(s),Maximum property day(s),,
Minimum property day(s),Minimum property day(s),,
Dates are not available refer to calendar,Dates are not available refer to calendar,,
Host can't book their own listing,Host can't book their own listing,,
View Calendar,View Calendar,,
Hide Calendar,Hide Calendar,,
See other,See other,,
photos,photos,,
UNSAVED CHANGES,UNSAVED CHANGES,,
"Would like discard all changes, Would you like to save them ?","Would like discard all changes, Would you like to save them ?",,
DISCARD,DISCARD,,
SAVE,SAVE,,
EXPERIENCE NAME,EXPERIENCE NAME,,
SUMMARY,SUMMARY,,
Geolocation is not supported by this browser.,Geolocation is not supported by this browser.,,
Inbox,Inbox,,
Sent Items,Sent Items,,
No mail sent,No mail sent,,
Not paid,Not paid,,
Booking Id,Booking Id,,
Total Amount,Total Amount,,
Host Amount,Host Amount,,
Admin Commission,Admin Commission,,
Paid Status,Paid Status,,
Transaction History,Transaction History,,
Payment Request,Payment Request,,
Payment Request Sent,Payment Request Sent,,
Acknowledge,Acknowledge,,
Acknowledgement Sent,Acknowledgement Sent,,
Not Paid,Not Paid,,
No Records were Found,No Records were Found,,
My Listings,My Listings,,
Manage Listings,Manage Listings,,
Booking History,Booking History,,
Transaction History,Transaction History,,
No Records were Found,No Records were Found,,
My Listings,My Listings,,
Manage Listings,Manage Listings,,
Transaction History,Transaction History,,
Booking History,Booking History,,
My Trips,My Trips,,
Upcoming Trips,Upcoming Trips,,
Current Trips,Current Trips,,
Previous Trips,Previous Trips,,
Berlin,Berlin,,
Search when I move the map,Search when I move the map,,
Room Type,Room Type,,
Categories,Categories,,
Price,Price,,
Where do you want to eat ?,Where do you want to eat ?,,
"e.g. Berlin, Los Angeles","e.g. Berlin, Los Angeles",,
Show Filters,Show Filters,,
Property type,Property type,,
More,More,,
Hide,Hide,,
Amenities,Amenities,,
More,More,,
Show Filters,Show Filters,,
Hide Filters,Hide Filters,,
Manage Listings,Manage Listings,,
Post new listing,Post new listing,,
Click To Preview,Click To Preview,,
Click to Active,Click to Active,,
HIDDEN,HIDDEN,,
ACTIVE,ACTIVE,,
Schedule,Schedule,,
Photos,Photos,,
Edit,Edit,,
Delete,Delete,,
Your property will not display in front end until images uploaded by you,Your property will not display in front end until images uploaded by you,,
Awaiting for admins approval,Awaiting for admins approval,,
No Records Found,No Records Found,,
"Invalid dates, Please kindly check it.","Invalid dates, Please kindly check it.",,
My Listings,My Listings,,
Manage Listings,Manage Listings,,
Booking History,Booking History,,
Experience with Global,Experience with Global,,
Live thousands of new lives around the globe,Live thousands of new lives around the globe,,
Where,Where,,
Where do you want to go?,Where do you want to go?,,
When,When,,
1 Guest,1 Guest,,
Guests,Guests,,
Search,Search,,
Home,Home,,
Category,Category,,
Place,Place,,
Listings,Listings,,
beds,beds,,
City,City,,
See All,See All,,
Select Date,Select Date,,
Booking History,Booking History,,
Booking Number,Booking Number,,
Experience Name,Experience Name,,
Price,Price,,
Start on,Start on,,
End on,End on,,
Booking Status,Booking Status,,
Action,Action,,
Cancellation Request Sent,Cancellation Request Sent,,
Closed,Closed,,
View Booking,View Booking,,
You have no booking,You have no booking,,
From,From,,
To,To,,
Availability,Availability,,
Special Price,Special Price,,
Booked,Booked,,
Not Available,Not Available,,
Available,Available,,
Price (per day),Price (per day),,
Please select the Dates which are not booked.,Please select the Dates which are not booked.,,
Please select a different To Date.,Please select a different To Date.,,
Please select a different To Date.,Please select a different To Date.,,
Please Enter price field,Please Enter price field,,
Past,Past,,
Available,Available,,
Special Price,Special Price,,
Booked,Booked,,
Not Available,Not Available,,
January,January,,
February,February,,
March,March,,
April,April,,
May,May,,
June,June,,
July,July,,
August,August,,
September,September,,
October,October,,
November,November,,
December,December,,
No Listing,No Listing,,
See Photos,See Photos,,
Overview,Overview,,
Reviews,Reviews,,
Location,Location,,
Similar Listings,Similar Listings,,
Reviews,Reviews,,
Booking,Booking,,
Rooms,Rooms,,
Guests,Guests,,
From,From,,
per night,per night,,
Book it,Book it,,
Book Now,Book Now,,
About this listing,About this listing,,
Property Space,Property Space,,
Booking Type: ,Booking Type: ,,
Privacy: ,Privacy: ,,
Bed type: ,Bed type: ,,
Rooms: ,Rooms: ,,
City : ,City : ,,
Country : ,Country : ,,
Amenities,Amenities,,
Prices,Prices,,
Per Night,Per Night,,
House Rules,House Rules,,
Cancellations,Cancellations,,
Availability,Availability,,
Minimum stay :,Minimum stay :,,
Maximum stay : ,Maximum stay : ,,
Day(s),Day(s),,
More Reviews,More Reviews,,
Leave a Review,Leave a Review,,
Location,Location,,
Maximum property day(s),Maximum property day(s),,
Minimum property day(s),Minimum property day(s),,
Dates are not available refer to calendar,Dates are not available refer to calendar,,
Host can't book their own listing,Host can't book their own listing,,
View Calendar,View Calendar,,
Hide Calendar,Hide Calendar,,
See other,See other,,
photos,photos,,
Browse to find or Drag image here.,Browse to find or Drag image here.,,
Please upload image,Please upload image,,
base,base,,
Album Cover,Album Cover,,
Please select base image for your product,Please select base image for your product,,
Save,Save,,
Basic,Basic,,
Photos,Photos,,
UNSAVED CHANGES,UNSAVED CHANGES,,
"Would like discard all changes, Would you like to save them ?","Would like discard all changes, Would you like to save them ?",,
DISCARD,DISCARD,,
SAVE,SAVE,,
Required Fields,Required Fields,,
Experience Name,Experience Name,,
"EXAMPLE: ""Shanghai historic pub tour"" (No more than 60 characters)","EXAMPLE: ""Shanghai historic pub tour"" (No more than 60 characters)",,
EXPERIENCE NAME,EXPERIENCE NAME,,
The name should be clear and descriptive,The name should be clear and descriptive,,
Location,Location,,
State,State,,
Country,Country,,
Summary,Summary,,
"EXAMPLE: ""Our Shanghai pub tour is a gentle 4 km amble through some of Shanghai is old streets, enjoying fine views, quirky history and a couple of drinks along the way...&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stopping at least 5 unique Shanghai pubs to quench our thirst, the small group provides a personal touch and the local feel...""","EXAMPLE: ""Our Shanghai pub tour is a gentle 4 km amble through some of Shanghai is old streets, enjoying fine views, quirky history and a couple of drinks along the way...&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Stopping at least 5 unique Shanghai pubs to quench our thirst, the small group provides a personal touch and the local feel...""",,
SUMMARY,SUMMARY,,
Every experience on Airhotels is unique.Highlight what makes your experience welcoming so that it stands out to travellers who want as the local companion.,Every experience on Airhotels is unique.Highlight what makes your experience welcoming so that it stands out to travellers who want as the local companion.,,
Tax Class,Tax Class,,
Pricing,Pricing,,
Categories,Categories,,
Accommodate(s),Accommodate(s),,
Min,Min,,
Max,Max,,
Select Date,Select Date,,
save and continue,save and continue,,
Geolocation is not supported by this browser.,Geolocation is not supported by this browser.,,
Profile Information,Profile Information,,
Edit Profile,Edit Profile,,
Trust and Verification,Trust and Verification,,
Review(s),Review(s),,
Yet no reviews available.,Yet no reviews available.,,
Add a Listing,Add a Listing,,
Sign-in Information,Sign-in Information,,
Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,,
"Hey,I'm","Hey,I'm",,
Joined in,Joined in,,
Manage Listings,Manage Listings,,
Start Date,Start Date,,
End Date,End Date,,
Closed,Closed,,
Booking Details,Booking Details,,
Booking Number #,Booking Number #,,
Booking Date:,Booking Date:,,
Cancelpolicy ,Cancelpolicy ,,
Minimum Days For Rent ,Minimum Days For Rent ,,
Maximum Days For Rent ,Maximum Days For Rent ,,
privacy ,privacy ,,
Booking Type ,Booking Type ,,
Amenity ,Amenity ,,
Bed Type ,Bed Type ,,
Host Languages ,Host Languages ,,
Minimum Upload Image Size: 250px*250px,Minimum Upload Image Size: 250px*250px,,
My Profile,My Profile,,
From ,From ,,
 per night, per night,,
Minimum stay,Minimum stay,,
Maximum stay,Maximum stay,,
Day(s),Day(s),,
Verify host details has been updated Successfully,Verify host details has been updated Successfully,,
Upload the Image with minimum 250px width,Upload the Image with minimum 250px width,,
 Upload the Image with minimum 250px width, Upload the Image with minimum 250px width,,
Customer profile details has been updated Successfully,Customer profile details has been updated Successfully,,
Acknowledgement sent to admin successfully.,Acknowledgement sent to admin successfully.,,
Booking cancelled successfully.,Booking cancelled successfully.,,
Booking cancellation request has been sent successfully.,Booking cancellation request has been sent successfully.,,
The invoice has been created successfully.,The invoice has been created successfully.,,
Booking Rejected successfully.,Booking Rejected successfully.,,
The listing has been deleted successfully.,The listing has been deleted successfully.,,
Access Denied.,Access Denied.,,
Access denied,Access denied,,
 Upload the Image with minimum 1400px width, Upload the Image with minimum 1400px width,,
You updated the Listing.,You updated the Listing.,,
The transaction has been updated successfully.,The transaction has been updated successfully.,,
'We can't delete the address right now.,'We can't delete the address right now.,,
Fee,Fee,,
Cart Subtotal,Subtotal,,
Please enter the valid price,Please enter the valid price,,
Administrator,Administrator,,
Verify host details has been updated Successfully,Verify host details has been updated Successfully,,
The host details has been updated successfully for verification.,The host details has been updated successfully for verification.,,
The address has been deleted.,The address has been deleted.,,
You saved the address.,The address has been saved.,,
For delivery questions.,For booking questions.,,
